Symbol size,K,M,Backend,Input data (bytes),Time (ms),Raw Encode speed
1kB,4,2,isa_l_rs_vand,4096,0.00, 1024.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 1365.33
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, inf
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 1024.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 1365.33
1kB,4,2,isa_l_rs_vand,4096,0.00, inf
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 4096.00
1kB,4,2,isa_l_rs_vand,4096,0.00, 2048.00
